,continent,region,surface_area
0,North America,Caribbean,193.0
1,Asia,Southern and Central Asia,652090.0
2,Africa,Central Africa,1246700.0
3,North America,Caribbean,96.0
4,Europe,Southern Europe,28748.0
5,Europe,Southern Europe,468.0
6,North America,Caribbean,800.0
7,Asia,Middle East,83600.0
8,South America,South America,2780400.0
9,Asia,Middle East,29800.0
10,Oceania,Polynesia,199.0
11,Antarctica,Antarctica,13120000.0
12,Antarctica,Antarctica,7780.0
13,North America,Caribbean,442.0
14,Oceania,Australia and New Zealand,7741220.0
15,Europe,Western Europe,83859.0
16,Asia,Middle East,86600.0
17,Africa,Eastern Africa,27834.0
18,Europe,Western Europe,30518.0
19,Africa,Western Africa,112622.0
20,Africa,Western Africa,274000.0
21,Asia,Southern and Central Asia,143998.0
22,Europe,Eastern Europe,110994.0
23,Asia,Middle East,694.0
24,North America,Caribbean,13878.0
25,Europe,Southern Europe,51197.0
26,Europe,Eastern Europe,207600.0
27,North America,Central America,22696.0
28,North America,North America,53.0
29,South America,South America,1098581.0
30,South America,South America,8547403.0
31,North America,Caribbean,430.0
32,Asia,Southeast Asia,5765.0
33,Asia,Southern and Central Asia,47000.0
34,Antarctica,Antarctica,59.0
35,Africa,Southern Africa,581730.0
36,Africa,Central Africa,622984.0
37,North America,North America,9970610.0
38,Oceania,Australia and New Zealand,14.0
39,Europe,Western Europe,41284.0
40,South America,South America,756626.0
41,Asia,Eastern Asia,9572900.0
42,Africa,Western Africa,322463.0
43,Africa,Central Africa,475442.0
44,Africa,Central Africa,2344858.0
45,Africa,Central Africa,342000.0
46,Oceania,Polynesia,236.0
47,South America,South America,1138914.0
48,Africa,Eastern Africa,1862.0
49,Africa,Western Africa,4033.0
50,North America,Central America,51100.0
51,North America,Caribbean,110861.0
52,Oceania,Australia and New Zealand,135.0
53,North America,Caribbean,264.0
54,Asia,Middle East,9251.0
55,Europe,Eastern Europe,78866.0
56,Europe,Western Europe,357022.0
57,Africa,Eastern Africa,23200.0
58,North America,Caribbean,751.0
59,Europe,Nordic Countries,43094.0
60,North America,Caribbean,48511.0
61,Africa,Northern Africa,2381741.0
62,South America,South America,283561.0
63,Africa,Northern Africa,1001449.0
64,Africa,Eastern Africa,117600.0
65,Africa,Northern Africa,266000.0
66,Europe,Southern Europe,505992.0
67,Europe,Baltic Countries,45227.0
68,Africa,Eastern Africa,1104300.0
69,Europe,Nordic Countries,338145.0
70,Oceania,Melanesia,18274.0
71,South America,South America,12173.0
72,Europe,Western Europe,551500.0
73,Europe,Nordic Countries,1399.0
74,Oceania,Micronesia,702.0
75,Africa,Central Africa,267668.0
76,Europe,British Islands,242900.0
77,Asia,Middle East,69700.0
78,Africa,Western Africa,238533.0
79,Europe,Southern Europe,6.0
80,Africa,Western Africa,245857.0
81,North America,Caribbean,1705.0
82,Africa,Western Africa,11295.0
83,Africa,Western Africa,36125.0
84,Africa,Central Africa,28051.0
85,Europe,Southern Europe,131626.0
86,North America,Caribbean,344.0
87,North America,North America,2166090.0
88,North America,Central America,108889.0
89,South America,South America,90000.0
90,Oceania,Micronesia,549.0
91,South America,South America,214969.0
92,Asia,Eastern Asia,1075.0
93,Antarctica,Antarctica,359.0
94,North America,Central America,112088.0
95,Europe,Southern Europe,56538.0
96,North America,Caribbean,27750.0
97,Europe,Eastern Europe,93030.0
98,Asia,Southeast Asia,1904569.0
99,Asia,Southern and Central Asia,3287263.0
100,Africa,Eastern Africa,78.0
101,Europe,British Islands,70273.0
102,Asia,Southern and Central Asia,1648195.0
103,Asia,Middle East,438317.0
104,Europe,Nordic Countries,103000.0
105,Asia,Middle East,21056.0
106,Europe,Southern Europe,301316.0
107,North America,Caribbean,10990.0
108,Asia,Middle East,88946.0
109,Asia,Eastern Asia,377829.0
110,Asia,Southern and Central Asia,2724900.0
111,Africa,Eastern Africa,580367.0
112,Asia,Southern and Central Asia,199900.0
113,Asia,Southeast Asia,181035.0
114,Oceania,Micronesia,726.0
115,North America,Caribbean,261.0
116,Asia,Eastern Asia,99434.0
117,Asia,Middle East,17818.0
118,Asia,Southeast Asia,236800.0
119,Asia,Middle East,10400.0
120,Africa,Western Africa,111369.0
121,Africa,Northern Africa,1759540.0
122,North America,Caribbean,622.0
123,Europe,Western Europe,160.0
124,Asia,Southern and Central Asia,65610.0
125,Africa,Southern Africa,30355.0
126,Europe,Baltic Countries,65301.0
127,Europe,Western Europe,2586.0
128,Europe,Baltic Countries,64589.0
129,Asia,Eastern Asia,18.0
130,Africa,Northern Africa,446550.0
131,Europe,Western Europe,1.5
132,Europe,Eastern Europe,33851.0
133,Africa,Eastern Africa,587041.0
134,Asia,Southern and Central Asia,298.0
